N	51.9018	-8.4582	D568	09 Feb 2024	D568\nCork to Midleton\nExpected Departure 14:45	To Midleton
N	51.9212	-8.17579	P567	09 Feb 2024	P567\nMidleton to Cork\nExpected Departure 14:45	To Cork
N	52.2667	-7.1183	A517	09 Feb 2024	A517\nWaterford to Dublin Heuston\nExpected Departure 14:50	To Dublin Heuston
N	52.6587	-8.62397	A439	09 Feb 2024	A439\nLimerick to Limerick Junction\nExpected Departure 14:55	To Limerick Junction
N	53.2043	-6.10046	E929	09 Feb 2024	E929\nBray to Howth\nExpected Departure 14:55	Northbound
N	53.3531	-6.24591	D813	09 Feb 2024	D813\nDublin Connolly to Drogheda\nExpected Departure 14:50	Northbound
N	53.4509	-6.15649	E237	09 Feb 2024	E237\nMalahide to Bray\nExpected Departure 14:50	Southbound
N	53.712	-6.33538	P615	09 Feb 2024	P615\nDrogheda to Bray\nExpected Departure 14:50	Southbound
R	0	0	A214	09 Feb 2024	A214\n13:00 - Dublin Heuston to Cork (3 mins late)\nArrived LJ896 next stop Mallow	To Cork
R	0	0	A804	09 Feb 2024	A804\n12:45 - Dublin Heuston to Westport (13 mins late)\nDeparted Athlone Midland Yard next stop Roscommon	To Westport
R	0	0	A806	09 Feb 2024	A806\n14:45 - Dublin Heuston to Westport (-7 mins late)\nArrived Inchicore Advance Starter next stop Portarlington	To Westport
R	0	0	D919	09 Feb 2024	D919\n14:46 - Dublin Connolly to Maynooth (0 mins late)\nDeparted North Strand Junction next stop Drumcondra	Northbound
R	0	0	P665	09 Feb 2024	P665\n14:08 - Maynooth to Dublin Pearse (0 mins late)\nDeparted North Strand Junction next stop Dublin Connolly	Southbound
R	52.1396	-8.65521	A219	09 Feb 2024	A219\n14:25 - Cork to Dublin Heuston (0 mins late)\nDeparted Mallow next stop Charleville	To Dublin Heuston
R	52.1396	-8.65521	A306	09 Feb 2024	A306\n13:25 - Mallow to Tralee (1 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R	52.2531	-6.33493	A609	09 Feb 2024	A609\n12:55 - Rosslare Europort to Dublin Connolly (0 mins late)\nDeparted Rosslare Europort next stop Rosslare Strand	Northbound
R	52.7878	-7.82293	A217	09 Feb 2024	A217\n13:25 - Cork to Dublin Heuston (2 mins late)\nDeparted Templemore next stop Portlaoise	To Dublin Heuston
R	52.992	-6.9762	A513	09 Feb 2024	A513\n13:05 - Waterford to Dublin Heuston (19 mins late)\nArrived Athy next stop Kildare	To Dublin Heuston
R	53.0371	-7.30086	A216	09 Feb 2024	A216\n14:00 - Dublin Heuston to Cork (5 mins late)\nArrived Portlaoise next stop Ballybrophy	To Cork
R	53.1442	-6.06085	A606	09 Feb 2024	A606\n13:33 - Dublin Connolly to Rosslare Europort (6 mins late)\nDeparted Greystones next stop Wicklow	Southbound
R	53.1545	-6.96542	A508	09 Feb 2024	A508\n14:14 - Carlow to Waterford (63 mins late)\nDeparted Cherryville Junction next stop Muine Bheag	To Waterford
R	53.1545	-6.96542	P219	09 Feb 2024	P219\n14:28 - Portlaoise to Dublin Heuston (2 mins late)\nDeparted Cherryville Junction next stop Kildare	To Dublin Heuston
R	53.2043	-6.10046	E116	09 Feb 2024	E116\n13:30 - Malahide to Greystones (2 mins late)\nDeparted Bray next stop Greystones	Southbound
R	53.2043	-6.10046	E827	09 Feb 2024	E827\n14:34 - Greystones to Malahide (4 mins late)\nArrived Bray next stop Shankill	Northbound
R	53.2469	-6.66386	D214	09 Feb 2024	D214\n14:15 - Dublin Heuston to Portlaoise (0 mins late)\nDeparted Sallins next stop Newbridge	To Portlaoise
R	53.2557	-6.11317	E232	09 Feb 2024	E232\n13:40 - Howth to Bray (2 mins late)\nDeparted Killiney next stop Shankill	Southbound
R	53.2704	-7.49985	A713	09 Feb 2024	A713\n13:05 - Galway to Dublin Heuston (4 mins late)\nDeparted Tullamore next stop Portarlington	To Dublin Heuston
